Name,Size Using Noval Approach,Size Using JPEG-LS
413.jpg,20059,20107
414.jpg,18702,17308
415.jpg,19308,18263
416.jpg,16224,13337
417.jpg,13218,11013
418.jpg,17412,15721
419.jpg,15298,13957
420.jpg,15926,12108
421.jpg,18831,18221
422.jpg,20179,20392
423.jpg,11818,8562
424.jpg,18837,17380
425.jpg,15901,13313
426.jpg,14588,13208
427.jpg,17953,17211
428.jpg,19750,19764
429.jpg,15503,13163
430.jpg,18236,15190
431.jpg,15492,12410
432.jpg,14151,10915
433.jpg,17914,17896
434.jpg,17054,16131
435.jpg,18012,16391
436.jpg,19870,20715
437.jpg,20075,20079
438.jpg,16660,14847
439.jpg,20113,20300
440.jpg,15235,13187
441.jpg,17301,16358
442.jpg,20677,22315
443.jpg,16417,14504
444.jpg,19831,19844
445.jpg,20037,20447
446.jpg,16186,13073
447.jpg,17363,16656
448.jpg,16315,14334
449.jpg,16406,15145
450.jpg,17520,15573
451.jpg,19765,19766
452.jpg,18639,18717
453.jpg,16223,14784
454.jpg,19046,17076
455.jpg,15756,13147
456.jpg,17279,15762
457.jpg,17184,16018
458.jpg,18196,17679
459.jpg,18912,16490
460.jpg,16401,13912
461.jpg,16062,13464
462.jpg,17692,16091
463.jpg,19195,17125
464.jpg,19596,19780
465.jpg,18740,16860
466.jpg,15921,14827
467.jpg,20325,17936
468.jpg,18055,17053
469.jpg,15547,12565
470.jpg,17872,16798
471.jpg,16044,13801
472.jpg,12327,9047
473.jpg,20454,21527
474.jpg,19831,19630
475.jpg,18327,16912
476.jpg,13908,11714
477.jpg,20188,19992
478.jpg,17905,16035
479.jpg,15692,13341
480.jpg,18258,17047
481.jpg,20375,20479
482.jpg,16048,14420
483.jpg,18515,17526
484.jpg,20203,20024
485.jpg,18007,16622
486.jpg,18112,16284
487.jpg,16201,14154
488.jpg,15669,14356
489.jpg,16582,15113
490.jpg,15054,11232
491.jpg,17178,14889
492.jpg,14636,13085
493.jpg,18561,17315
494.jpg,14360,10334
495.jpg,16999,14584
496.jpg,18103,16546
497.jpg,18621,17323
498.jpg,14305,11739
499.jpg,17031,14695
500.jpg,19887,20495
501.jpg,20574,21703
502.jpg,16707,14236
503.jpg,14753,12419
504.jpg,17567,16452
505.jpg,14655,9355
506.jpg,12634,10901
507.jpg,19532,17677
508.jpg,18500,17066
509.jpg,12914,7091
510.jpg,14887,12801
511.jpg,19619,19784
512.jpg,18463,17497
513.jpg,19185,19018
514.jpg,18602,15849
515.jpg,19612,18557
516.jpg,20392,21091
517.jpg,16065,14752
518.jpg,13888,11157
519.jpg,16366,14822
520.jpg,18200,17052
521.jpg,16748,14927
522.jpg,18633,17836
523.jpg,20751,22054
524.jpg,15928,14472
525.jpg,17426,15579
526.jpg,19152,19058
527.jpg,16653,14493
528.jpg,11397,9299
529.jpg,15715,12824
530.jpg,19011,18653
531.jpg,16286,13013
532.jpg,19146,18110
533.jpg,17358,15820
534.jpg,17391,15449
535.jpg,20680,21568
536.jpg,18396,17246
537.jpg,20014,19976
538.jpg,18986,18914
539.jpg,18678,18016
540.jpg,15124,12527
541.jpg,16809,14630
542.jpg,18288,17563
543.jpg,17377,16165
544.jpg,18956,17956
545.jpg,14705,11474
546.jpg,16264,14062
547.jpg,11019,7271
548.jpg,15711,11705
549.jpg,19885,19420
550.jpg,12454,9071
551.jpg,16301,14115
552.jpg,18433,17970
553.jpg,17635,17185
554.jpg,16831,15267
555.jpg,16576,15872
556.jpg,19001,18316
557.jpg,16642,15566
558.jpg,18757,17477
559.jpg,15848,11610
560.jpg,14655,13253
561.jpg,20152,20484
562.jpg,16401,14061
563.jpg,20226,19905
564.jpg,20043,19980
565.jpg,19958,19831
566.jpg,20215,20984
567.jpg,14120,11011
568.jpg,15228,12436
569.jpg,16292,14416
570.jpg,15950,12643
571.jpg,18175,15213
572.jpg,20011,20359
573.jpg,14919,12082
574.jpg,15448,12273
575.jpg,20726,21908
576.jpg,18151,16712
577.jpg,17948,16086
578.jpg,12264,8819
579.jpg,15481,12094
580.jpg,19868,20197
581.jpg,18850,18420
582.jpg,17187,16811
583.jpg,18347,18186
584.jpg,14740,13306
585.jpg,17876,17061
586.jpg,13993,9447
587.jpg,17112,14787
588.jpg,15717,14528
589.jpg,15100,12069
590.jpg,20555,21440
591.jpg,18734,17718
592.jpg,18237,15422
593.jpg,19568,19342
594.jpg,18878,17155
595.jpg,18387,17438
596.jpg,13516,11078
597.jpg,16719,15199
598.jpg,16408,15070
599.jpg,16527,15786
600.jpg,19706,19871
601.jpg,17026,14158
602.jpg,20614,21170
603.jpg,19821,19446
604.jpg,19450,18285
605.jpg,16270,12754
606.jpg,17910,16650
607.jpg,16286,15061
608.jpg,19031,17013
609.jpg,15109,11664
610.jpg,20037,19346
611.jpg,14598,12063
612.jpg,15263,13141
613.jpg,19901,20056
614.jpg,16265,15214
615.jpg,20465,20364
616.jpg,18413,17355
617.jpg,19334,16368
618.jpg,16314,14569
619.jpg,16067,17072
620.jpg,19136,17166
621.jpg,15925,14205
622.jpg,18061,16627
623.jpg,17156,14577
624.jpg,11456,10923
625.jpg,14594,12071
626.jpg,16645,14417
627.jpg,14599,11954
628.jpg,17668,15057
629.jpg,18937,18290
630.jpg,20314,20854
631.jpg,17036,16071
632.jpg,15880,13921
633.jpg,15946,12704
634.jpg,19128,17468
635.jpg,16651,15765
636.jpg,19720,19820
637.jpg,18705,17545
638.jpg,15881,14087
639.jpg,18121,17197
640.jpg,18118,16366
641.jpg,17376,16447
642.jpg,19748,17478
643.jpg,18622,18493
644.jpg,17043,15175
645.jpg,15089,13276
646.jpg,16037,15559
647.jpg,16326,13529
648.jpg,20510,20865
649.jpg,18588,16149
650.jpg,17537,15429
651.jpg,20151,19853
652.jpg,15586,14102
653.jpg,17005,15947
654.jpg,16271,13526
655.jpg,18207,17592
656.jpg,15741,12678
657.jpg,19118,18328
658.jpg,16301,12814
659.jpg,17861,17367
660.jpg,16176,14294
661.jpg,18815,17161
662.jpg,19486,18698
663.jpg,15774,13699
664.jpg,20390,19367
665.jpg,19121,19038
666.jpg,16084,14567
667.jpg,18616,18249
668.jpg,16624,13572
669.jpg,19702,19259
670.jpg,16361,14292
671.jpg,18299,17249
672.jpg,16198,15290
673.jpg,20237,20670
674.jpg,16421,14564
675.jpg,17006,15442
676.jpg,18976,18249
677.jpg,14271,11627
678.jpg,17303,15797
679.jpg,17178,14631
680.jpg,18251,17267
681.jpg,19100,18295
682.jpg,17823,15569
683.jpg,18429,17050
684.jpg,18259,16829
685.jpg,18781,18327
686.jpg,19781,20148
687.jpg,16223,13446
688.jpg,17307,15498
689.jpg,20008,20668
690.jpg,20048,19033
691.jpg,19212,17679
692.jpg,17480,14309
693.jpg,15666,12986
694.jpg,17108,13423
695.jpg,15399,14006
696.jpg,16182,13952
697.jpg,17106,16647
698.jpg,17827,16795
699.jpg,15388,13844
700.jpg,17108,16173
701.jpg,17565,16253
702.jpg,14175,12458
703.jpg,17626,15636
704.jpg,16527,13457
705.jpg,15661,12638
706.jpg,16599,13599
707.jpg,19471,19640
708.jpg,19590,19503
709.jpg,11998,9052
710.jpg,17561,16645
711.jpg,17387,15987
712.jpg,16257,14328
713.jpg,16369,13434
714.jpg,17094,15399
715.jpg,20501,20571
716.jpg,14928,13911
717.jpg,16802,16002
718.jpg,13728,10237
719.jpg,15805,14148
720.jpg,16637,15708
721.jpg,19826,18330
722.jpg,20521,21095
723.jpg,17397,16531
724.jpg,17385,16243
725.jpg,20321,20265
726.jpg,13988,9769
727.jpg,11964,8428
728.jpg,16602,15898
729.jpg,14758,11025
730.jpg,18869,17838
731.jpg,17194,16462
732.jpg,16375,13994
733.jpg,10048,6943
734.jpg,13190,8579
735.jpg,18618,18000
736.jpg,20672,21828
737.jpg,17334,16016
738.jpg,19409,18802
739.jpg,16623,14183
740.jpg,17162,15570
741.jpg,18696,18060
742.jpg,17869,16137
743.jpg,15946,14222
744.jpg,20189,20670
745.jpg,17473,16045
746.jpg,19540,19056
747.jpg,20370,19244
748.jpg,15472,13509
749.jpg,18713,17610
750.jpg,15825,13735
751.jpg,18773,18068
