Name,Size Using Noval Approach,Size Using JPEG-LS
451.jpg,19760,19766
452.jpg,18634,18717
453.jpg,16218,14784
454.jpg,19041,17076
455.jpg,15751,13147
456.jpg,17274,15762
457.jpg,17179,16018
458.jpg,18191,17679
459.jpg,18907,16490
460.jpg,16396,13912
461.jpg,16057,13464
462.jpg,17687,16091
463.jpg,19190,17125
464.jpg,19591,19780
465.jpg,18735,16860
466.jpg,15916,14827
467.jpg,20320,17936
468.jpg,18050,17053
469.jpg,15542,12565
470.jpg,17867,16798
471.jpg,16039,13801
472.jpg,12322,9047
473.jpg,20449,21527
474.jpg,19826,19630
475.jpg,18322,16912
476.jpg,13903,11714
477.jpg,20183,19992
478.jpg,17900,16035
479.jpg,15687,13341
480.jpg,18253,17047
481.jpg,20370,20479
482.jpg,16043,14420
483.jpg,18510,17526
484.jpg,20198,20024
485.jpg,18002,16622
486.jpg,18107,16284
487.jpg,16196,14154
488.jpg,15664,14356
489.jpg,16577,15113
490.jpg,15049,11232
491.jpg,17173,14889
492.jpg,14631,13085
493.jpg,18556,17315
494.jpg,14355,10334
495.jpg,16994,14584
496.jpg,18098,16546
497.jpg,18616,17323
498.jpg,14300,11739
499.jpg,17026,14695
500.jpg,19882,20495
501.jpg,20569,21703
502.jpg,16702,14236
503.jpg,14748,12419
504.jpg,17562,16452
505.jpg,14650,9355
506.jpg,12629,10901
507.jpg,19527,17677
508.jpg,18495,17066
509.jpg,12909,7091
510.jpg,14882,12801
511.jpg,19614,19784
512.jpg,18458,17497
513.jpg,19180,19018
514.jpg,18597,15849
515.jpg,19607,18557
516.jpg,20387,21091
517.jpg,16060,14752
518.jpg,13883,11157
519.jpg,16361,14822
520.jpg,18195,17052
521.jpg,16743,14927
522.jpg,18628,17836
523.jpg,20746,22054
524.jpg,15923,14472
525.jpg,17421,15579
526.jpg,19147,19058
527.jpg,16648,14493
528.jpg,11392,9299
529.jpg,15710,12824
530.jpg,19006,18653
531.jpg,16281,13013
532.jpg,19141,18110
533.jpg,17353,15820
534.jpg,17386,15449
535.jpg,20675,21568
536.jpg,18391,17246
537.jpg,20009,19976
538.jpg,18981,18914
539.jpg,18673,18016
540.jpg,15119,12527
541.jpg,16804,14630
542.jpg,18283,17563
543.jpg,17372,16165
544.jpg,18951,17956
545.jpg,14700,11474
546.jpg,16259,14062
547.jpg,11014,7271
548.jpg,15706,11705
549.jpg,19880,19420
550.jpg,12449,9071
551.jpg,16296,14115
552.jpg,18428,17970
553.jpg,17630,17185
554.jpg,16826,15267
555.jpg,16571,15872
556.jpg,18996,18316
557.jpg,16637,15566
558.jpg,18752,17477
559.jpg,15843,11610
560.jpg,14650,13253
561.jpg,20147,20484
562.jpg,16396,14061
563.jpg,20221,19905
564.jpg,20038,19980
565.jpg,19953,19831
566.jpg,20210,20984
567.jpg,14115,11011
568.jpg,15223,12436
569.jpg,16287,14416
570.jpg,15945,12643
571.jpg,18170,15213
572.jpg,20006,20359
573.jpg,14914,12082
574.jpg,15443,12273
575.jpg,20721,21908
576.jpg,18146,16712
577.jpg,17943,16086
578.jpg,12259,8819
579.jpg,15476,12094
580.jpg,19863,20197
581.jpg,18845,18420
582.jpg,17182,16811
583.jpg,18342,18186
584.jpg,14735,13306
585.jpg,17871,17061
586.jpg,13988,9447
587.jpg,17107,14787
588.jpg,15712,14528
589.jpg,15095,12069
590.jpg,20550,21440
591.jpg,18729,17718
592.jpg,18232,15422
593.jpg,19563,19342
594.jpg,18873,17155
595.jpg,18382,17438
596.jpg,13511,11078
597.jpg,16714,15199
598.jpg,16403,15070
599.jpg,16522,15786
600.jpg,19701,19871
601.jpg,17021,14158
602.jpg,20609,21170
603.jpg,19816,19446
604.jpg,19445,18285
605.jpg,16265,12754
606.jpg,17905,16650
607.jpg,16281,15061
608.jpg,19026,17013
609.jpg,15104,11664
610.jpg,20032,19346
611.jpg,14593,12063
612.jpg,15258,13141
613.jpg,19896,20056
614.jpg,16260,15214
615.jpg,20460,20364
616.jpg,18408,17355
617.jpg,19329,16368
618.jpg,16309,14569
619.jpg,16062,17072
620.jpg,19131,17166
621.jpg,15920,14205
622.jpg,18056,16627
623.jpg,17151,14577
624.jpg,11451,10923
625.jpg,14589,12071
626.jpg,16640,14417
627.jpg,14594,11954
628.jpg,17663,15057
629.jpg,18932,18290
630.jpg,20309,20854
631.jpg,17031,16071
632.jpg,15875,13921
633.jpg,15941,12704
634.jpg,19123,17468
635.jpg,16646,15765
636.jpg,19715,19820
637.jpg,18700,17545
638.jpg,15876,14087
639.jpg,18116,17197
640.jpg,18113,16366
641.jpg,17371,16447
642.jpg,19743,17478
643.jpg,18617,18493
644.jpg,17038,15175
645.jpg,15084,13276
646.jpg,16032,15559
647.jpg,16321,13529
648.jpg,20505,20865
649.jpg,18583,16149
650.jpg,17532,15429
651.jpg,20146,19853
652.jpg,15581,14102
653.jpg,17000,15947
654.jpg,16266,13526
655.jpg,18202,17592
656.jpg,15736,12678
657.jpg,19113,18328
658.jpg,16296,12814
659.jpg,17856,17367
660.jpg,16171,14294
661.jpg,18810,17161
662.jpg,19481,18698
663.jpg,15769,13699
664.jpg,20385,19367
665.jpg,19116,19038
666.jpg,16079,14567
667.jpg,18611,18249
668.jpg,16619,13572
669.jpg,19697,19259
670.jpg,16356,14292
671.jpg,18294,17249
672.jpg,16193,15290
673.jpg,20232,20670
674.jpg,16416,14564
675.jpg,17001,15442
676.jpg,18971,18249
677.jpg,14266,11627
678.jpg,17298,15797
679.jpg,17173,14631
680.jpg,18246,17267
681.jpg,19095,18295
682.jpg,17818,15569
683.jpg,18424,17050
684.jpg,18254,16829
685.jpg,18776,18327
686.jpg,19776,20148
687.jpg,16218,13446
688.jpg,17302,15498
689.jpg,20003,20668
690.jpg,20043,19033
691.jpg,19207,17679
692.jpg,17475,14309
693.jpg,15661,12986
694.jpg,17103,13423
695.jpg,15394,14006
696.jpg,16177,13952
697.jpg,17101,16647
698.jpg,17822,16795
699.jpg,15383,13844
700.jpg,17103,16173
701.jpg,17560,16253
702.jpg,14170,12458
703.jpg,17621,15636
704.jpg,16522,13457
705.jpg,15656,12638
706.jpg,16594,13599
707.jpg,19466,19640
708.jpg,19585,19503
709.jpg,11993,9052
710.jpg,17556,16645
711.jpg,17382,15987
712.jpg,16252,14328
713.jpg,16364,13434
714.jpg,17089,15399
715.jpg,20496,20571
716.jpg,14923,13911
717.jpg,16797,16002
718.jpg,13723,10237
719.jpg,15800,14148
720.jpg,16632,15708
721.jpg,19821,18330
722.jpg,20516,21095
723.jpg,17392,16531
724.jpg,17380,16243
725.jpg,20316,20265
726.jpg,13983,9769
727.jpg,11959,8428
728.jpg,16597,15898
729.jpg,14753,11025
730.jpg,18864,17838
731.jpg,17189,16462
732.jpg,16370,13994
733.jpg,10043,6943
734.jpg,13185,8579
735.jpg,18613,18000
736.jpg,20667,21828
737.jpg,17329,16016
738.jpg,19404,18802
739.jpg,16618,14183
740.jpg,17157,15570
741.jpg,18691,18060
742.jpg,17864,16137
743.jpg,15941,14222
744.jpg,20184,20670
745.jpg,17468,16045
746.jpg,19535,19056
747.jpg,20365,19244
748.jpg,15467,13509
749.jpg,18708,17610
750.jpg,15820,13735
751.jpg,18768,18068
752.jpg,18323,16479
753.jpg,19684,18401
754.jpg,19393,19407
755.jpg,14131,11368
756.jpg,20074,20206
757.jpg,16470,13967
758.jpg,20390,21296
759.jpg,15898,12349
760.jpg,16949,15238
761.jpg,19630,19834
762.jpg,17229,16284
763.jpg,16334,14001
764.jpg,15715,13823
765.jpg,16274,14173
766.jpg,12302,9622
767.jpg,13263,11246
768.jpg,17960,16724
769.jpg,19430,19631
770.jpg,9298,5484
771.jpg,16774,15031
772.jpg,17734,16465
773.jpg,16922,14563
774.jpg,18457,16145
775.jpg,19358,18239
776.jpg,16956,15823
777.jpg,18150,17902
778.jpg,20350,20748
779.jpg,14969,12978
780.jpg,15620,12086
781.jpg,16570,14576
782.jpg,15370,14038
783.jpg,19706,19507
784.jpg,17646,16763
785.jpg,18214,16874
786.jpg,18942,18846
787.jpg,14568,12931
788.jpg,18814,17878
789.jpg,19975,18567
790.jpg,20391,20457
791.jpg,18927,17770
792.jpg,15173,14487
793.jpg,15931,13914
794.jpg,16592,16154
795.jpg,17952,16839
796.jpg,17785,14249
797.jpg,10708,7592
798.jpg,18735,18213
799.jpg,20467,21273
800.jpg,16518,15642
801.jpg,18243,17225
802.jpg,16146,14671
803.jpg,17028,15513
804.jpg,15479,13125
805.jpg,19923,20059
806.jpg,17956,15850
807.jpg,17399,15663
808.jpg,16959,15442
809.jpg,19142,17492
810.jpg,17615,15622
811.jpg,18640,17505
812.jpg,19148,17604
813.jpg,11038,8223
814.jpg,18596,17257
815.jpg,15626,14483
816.jpg,18988,18917
817.jpg,18849,16632
818.jpg,17060,15669
819.jpg,17340,16731
820.jpg,18871,18188
821.jpg,17520,14415
822.jpg,16534,15059
823.jpg,20237,17527
824.jpg,17183,14558
825.jpg,15731,14574
826.jpg,18639,17702
827.jpg,15978,13781
828.jpg,16259,13159
829.jpg,18526,17260
830.jpg,15340,13344
831.jpg,19566,18264
832.jpg,12101,7409
833.jpg,18022,15859
834.jpg,15043,10926
835.jpg,14549,12457
836.jpg,14744,10895
837.jpg,15964,14274
838.jpg,18466,17557
839.jpg,15813,13296
840.jpg,12402,10521
841.jpg,15761,14190
842.jpg,15339,12162
843.jpg,16754,14939
844.jpg,17096,15845
845.jpg,16352,13876
846.jpg,19188,17797
847.jpg,18286,16695
848.jpg,18621,16496
849.jpg,14292,12357
850.jpg,16052,11801
851.jpg,20258,19891
852.jpg,18922,18378
853.jpg,16070,13164
854.jpg,15944,14842
855.jpg,19323,19890
856.jpg,16993,15244
857.jpg,18875,17486
858.jpg,17188,16286
859.jpg,14369,10890
860.jpg,15352,12480
861.jpg,19242,19034
862.jpg,14109,11220
863.jpg,17964,16906
864.jpg,14036,10565
865.jpg,16569,14884
866.jpg,17417,15211
867.jpg,19532,18761
868.jpg,16687,14727
869.jpg,18658,17591
870.jpg,20648,21957
871.jpg,19160,17915
872.jpg,19099,18437
873.jpg,17997,16694
874.jpg,17475,15041
875.jpg,19963,20657
876.jpg,18508,17198
877.jpg,15009,13022
878.jpg,15189,14234
879.jpg,19233,17405
880.jpg,20074,20026
881.jpg,19406,18175
882.jpg,15560,13397
883.jpg,19247,17927
884.jpg,15463,14292
885.jpg,15249,13391
886.jpg,11130,8235
887.jpg,17778,16312
888.jpg,20005,20034
889.jpg,13484,11481
890.jpg,17522,14621
891.jpg,18250,17594
892.jpg,17171,15361
893.jpg,18040,16980
894.jpg,16351,14753
895.jpg,17811,16063
896.jpg,19517,18395
897.jpg,17135,14153
898.jpg,14579,13879
899.jpg,14088,10122
900.jpg,15134,13834
901.jpg,16716,14277
902.jpg,15335,14261
903.jpg,19329,19480
904.jpg,20217,19158
905.jpg,18197,17554
906.jpg,18986,18214
907.jpg,14798,11543
908.jpg,18924,19135
909.jpg,16236,13531
910.jpg,15898,13642
911.jpg,17377,16148
912.jpg,18497,18334
913.jpg,15268,13036
914.jpg,13028,9856
915.jpg,19240,19640
916.jpg,14529,12017
917.jpg,18853,18874
918.jpg,20064,18583
919.jpg,15630,13114
920.jpg,19746,17722
921.jpg,16699,15471
922.jpg,19079,17833
923.jpg,20410,20757
924.jpg,19009,16527
